id,clean_message,majority_vote,relevant_pieces,classification,confidence,reasoning
12889191_gab,the cia niggers glow in the dark you can see them at night and run them over,normal,niggers,hate speech,95.0,"The message contains a derogatory term directed at a racial group and promotes violence against them, which qualifies it as hate speech."
16659400_gab,signs in the ghetto warning the jews of typhus germans warning jews about a deadly disease,hate speech,ghetto,hate speech,85.0,"The message contains a reference to Jews in a derogatory context, implying a harmful stereotype associated with disease. This aligns with hate speech as it promotes negative and harmful views towards a specific group."
22035806_gab,when a cucked trump faggot thinks you are a libertarian,hate speech,faggot,hate speech,85.0,"The message contains derogatory terms such as 'cucked' and 'faggot', which are used to demean individuals based on their perceived political beliefs and sexual orientation. This language promotes hostility and discrimination."
1178906018572578816_twitter,barn full of white bitches,hate speech,white bitches,hate speech,85.0,"The phrase 'white bitches' is derogatory and objectifies women based on their race, which can be interpreted as hate speech targeting a specific racial group."
1126231936345702401_twitter,lemme go watch dany be a stupid bitch yet again on got,hate speech,bitch,normal,85.0,The message expresses a personal opinion about a character in a show without targeting any specific group or using derogatory language. It does not contain hate speech.
1240196821579968513_twitter,riot made rift retard proof for people like us,hate speech,retard,hate speech,85.0,The message contains derogatory language ('retard') which is often used to demean individuals with intellectual disabilities. This type of language is considered hate speech as it promotes discrimination and stigmatization against a specific group.
23844303_gab,they are lighter skinned arabs with phoenician and other relict populations mixed in hardly white but still i support them and their right to exist in the face of kike oppression,normal,kike,hate speech,85.0,"The message contains derogatory language ('kike') directed at a specific ethnic group, which is a clear indicator of hate speech. Additionally, it discusses the existence of a group in the context of oppression, which can imply a divisive or hostile sentiment."
26342506_gab,now if only we can get moslem men to do this before their wives squat out shitlings,hate speech,moslem shitlings,hate speech,95.0,"The message expresses a derogatory view towards Muslim men and their families, using offensive language ('shitlings') to dehumanize children. It promotes a negative stereotype about a specific religious group, which qualifies it as hate speech."
11620676_gab,read on swedish facebook police does not have time to arrest a rapist who raped a  year old girl despite knowing where he lives and who he is,hate speech,raped a  year old,normal,85.0,"The message expresses frustration about a specific incident involving law enforcement and a crime, without using derogatory language or targeting a specific group based on race, ethnicity, or religion. It does not promote hate or violence."
26827207_gab,im not going to join that gay ass jew hate club ya fag now go find a kackrat and stroke it all better,normal,gay ass jew hate club ya fag,hate speech,95.0,"The message contains derogatory terms directed at both Jewish individuals ('jew hate club') and LGBTQ+ individuals ('gay ass', 'fag'), which are indicative of hate speech. The use of slurs and the context of the message suggest a strong negative sentiment towards these groups."
12042275_gab,see how lefties turn on their poster girl aung san suu kyi mynarmar cos she will not bend to dhimmi traitor politicians un by appeasing moslems unhcr head is a moslem screams genocide irony yet mentions nothing of ongoing moslem genocide of christians in middle east me says go for it aung,normal,moslems moslem,hate speech,85.0,"The message expresses a strong negative sentiment towards Muslims and portrays them as perpetrators of genocide, while also labeling politicians who support them as 'dhimmi traitors.' This language is derogatory and promotes a divisive narrative against a specific religious group."
21253188_gab,i do not know what i d prefer to see happen to owen him thrown off a roof by a moslem refugee or to suffer a long agonizing death by aid,normal,thrown off a roof moslem refugee,hate speech,95.0,"The message expresses a violent wish towards an individual, specifically suggesting harm by a 'moslem refugee,' which indicates a targeted hostility towards a group based on their religion. This aligns with hate speech as it promotes violence against a specific demographic."
4751131_gab,european history of  years speaks with one voice exterminate the jews before they exterminate you whitegenocide,normal,exterminate the jews before they exterminate you,hate speech,95.0,"The message explicitly calls for the extermination of a specific group (Jews) and uses language that promotes violence and hatred, which is characteristic of hate speech."
12345088_gab,western europeans united against the inferior subhuman mudslime filth,normal,subhuman mudslime,hate speech,95.0,"The message contains derogatory language ('inferior subhuman mudslime filth') directed at a specific group, which is characteristic of hate speech. It promotes a negative stereotype and dehumanizes individuals based on their ethnicity or religion."
1162737996564762625_twitter,bitches be real life delusional,hate speech,bitches,normal,85.0,"The message expresses a personal opinion about a group of people (referred to as 'bitches') being delusional. While it may be derogatory, it does not contain explicit hate speech or targeted attacks against a specific race, ethnicity, or identity group."
18710271_gab,trump proved his love of america when he chose to not take money and worked in the white house during the shutdown recently fuck the dems they are so retarded now they are blindly walking into a trap hahaha,hate speech,fuck retarded,normal,85.0,"The message expresses a political opinion about Trump and the Democrats, using derogatory language ('retarded') but does not target a specific group based on race, ethnicity, or religion. It reflects frustration with political opponents rather than hate speech."
12777328_gab,we could update the refugee law if a refugee kills someone then  people from that refugee country are deported each time it happens we double the number deported to that country,hate speech,if a refugee kills someone then  people from that refugee country are deported,hate speech,85.0,"The message suggests a punitive measure against entire groups of people based on the actions of individuals, which promotes collective punishment and discrimination against refugees from specific countries. This can be seen as inciting hatred or prejudice against those groups."
13146695_gab,you are in the grip of meme malware that is what i fight also muzzie invader scum,normal,muzzie,hate speech,95.0,"The message contains derogatory language directed at Muslims, referring to them as 'muzzies' and 'invader scum,' which is indicative of hate speech aimed at a specific religious and ethnic group."
1082144856229756928_twitter,hux is literally gay and kylo is an ally,hate speech,gay,normal,85.0,The message does not contain any derogatory language or promote hate against any group. It simply states a fact about individuals and their identities without any negative connotation.
1179093514635882496_twitter,fucking retarded white people on twitter saying the n word hiding behind an anime avi virgin,hate speech,retarded,hate speech,85.0,"The message contains derogatory language directed at a specific racial group ('white people') and uses the term 'retarded' in a pejorative context, which can be considered hate speech. It also implies a negative stereotype about individuals who use certain avatars on social media."
27886895_gab,the hill as always twists it up it not the religious right it the religious left that run refugee placement programs and such like the jackasses settle muzzies in paterson nj,normal,muzzies,hate speech,85.0,"The message contains derogatory language towards Muslims ('muzzies') and suggests a negative view of their settlement in a specific area, which can be interpreted as promoting hostility towards a religious group."
26443311_gab,i should post pics of muslim women sucking christian cock lol,hate speech,muslim women sucking christian cock,hate speech,85.0,"The message contains derogatory language towards Muslim women and promotes a negative stereotype, which can be considered hate speech."
6441967_gab,good now the company should take their crap product to syria where they can hire all the refugees they need,hate speech,crap product to syria where they can need,hate speech,85.0,"The message expresses a derogatory sentiment towards refugees, suggesting they should be sent to Syria, which implies a negative view of their presence and contributions. This reflects a dismissive and hostile attitude towards a marginalized group."
17247779_gab,niggas say hahahaha you live with your mom hahaha you must be poor nigger i just spent  on a new computer for my mom kindly fuck off pls kthx,hate speech,nigger,hate speech,95.0,"The message contains derogatory terms and racial slurs directed at Black individuals, which is indicative of hate speech. The use of 'nigger' and 'niggas' is particularly offensive and promotes a negative stereotype."
1178588105164632064_twitter,you know niggers love pretty b*tches  with ambition,hate speech,,hate speech,95.0,"The message contains a derogatory term for Black individuals, which is a clear indicator of hate speech. The use of the term 'niggers' is widely recognized as a racial slur and is intended to demean and dehumanize a specific racial group."
1165819983701643266_twitter,sex be so good a bitch be slow stroking and crying,hate speech,bitch,normal,85.0,The message does not contain any derogatory language or targeted hate against any group. It appears to be a personal expression about a sexual experience.
16172106_gab,from what i am reading most major uk cities have muzzie mayor does the leadership in the uk look at sweden and ask themselves why they are allowing your great nation to become next caliphate where churchill and the iron lady when you need em,normal,muzzie,hate speech,85.0,"The message expresses a negative sentiment towards Muslims ('muzzies') and suggests a fear of a Muslim takeover in the UK, comparing it to Sweden. This type of rhetoric promotes division and hostility towards a specific religious group, which qualifies it as hate speech."
26212173_gab,reminder to everyone wes bellamy is a nigger,normal,nigger,hate speech,95.0,"The message contains a racial slur directed at an individual, which is derogatory and promotes hate against a specific racial group."
9183625_gab,i think ancestry com only exists to troll white liberals by telling them they have some nigger dna 😹 😹 😹,normal,,hate speech,95.0,"The message contains a derogatory term ('nigger') aimed at a racial group, which is a clear indication of hate speech. Additionally, the context suggests a mocking tone towards individuals based on their racial background, further reinforcing its classification as hate speech."
17279436_gab,would have been funnier if she had done that to a nigger or kebab but she would not because self preservation,normal,nigger kebab,hate speech,95.0,"The message contains derogatory terms aimed at specific racial and ethnic groups, which promotes hate and discrimination. The use of slurs like 'nigger' and 'kebab' indicates a clear intent to demean and dehumanize individuals based on their race or ethnicity."
13102768_gab,in  there was  million white christian south africans now kike are gruesomly genociding those  million peacefull european white minority today  million left and still going strong alt right white brothers and sisters,normal,kike,hate speech,95.0,"The message contains derogatory language towards Jewish people ('kike') and promotes a narrative of victimization and genocide against white South Africans, which is a common theme in hate speech that incites division and hostility based on race and religion."
24569252_gab,it was another muzrat terrorist attack do not believe the could not get laid excuse,normal,muzrat,hate speech,95.0,"The message contains derogatory language ('muzrat') directed at a specific religious and ethnic group, and it implies a negative stereotype about that group being associated with terrorism. This aligns with hate speech as it promotes hostility and prejudice."
16154028_gab,still avoiding my questions i see castrato what do you have against people hating the marxist cultural agenda led by your beloved jews who also lead the homosexual movement which you apparently support is it because you are a faggoty posin person masquerading as a christian,hate speech,jews homosexual faggoty,hate speech,95.0,"The message contains derogatory terms aimed at specific groups, including references to Jews and homosexuals, and promotes a negative stereotype about them. It expresses hostility towards these groups, which qualifies it as hate speech."
1246464315504328705_twitter,girl i use my email for anything important cause that shit too ghetto 😂 😭,hate speech,shit too ghetto,hate speech,85.0,"The message uses the term 'ghetto' in a derogatory manner, implying a negative stereotype associated with a specific socio-economic background, which can be considered as promoting a harmful stereotype."
14908239_gab,that seems like a misleading generalization i heard black women do not like giving oral i bet the black gays do though and the dl guys probably do so prob   tops,hate speech,i bet the black gays do though,hate speech,85.0,"The message contains a generalization about black women and implies negative stereotypes about their sexual behavior, which can be considered derogatory and harmful. Additionally, it makes assumptions about black gay men, further perpetuating stereotypes."
18119502_gab,perhaps the men in question prefer women who do not dress like streetwalkers,hate speech,women who do not dress like streetwalkers,normal,85.0,The message expresses a personal opinion about preferences in women's attire without using derogatory language or targeting a specific group in a hateful manner. It does not incite violence or discrimination.
19405848_gab,hell the dims would pay for it out of their own pocket using illegal immigrants as the labor force of course buildthewall shutitdown,hate speech,illegal immigrants,normal,75.0,"The message expresses a political opinion regarding immigration and labor without using derogatory language or slurs. While it may reflect a negative view towards a political group (the 'dims' referring to Democrats), it does not contain hate speech directed at a specific race, ethnicity, or group."
1178988938146521089_twitter,looks more like white trailer trash,hate speech,white trailer trash,hate speech,85.0,"The phrase 'white trailer trash' is derogatory and targets a specific socio-economic group based on their race and living conditions, which can be considered hate speech."
27559578_gab,so is it ok for us to protest jews in those positions in our countries as well chill the personal attacks i am better than you at those and i have not even used one yet it a debate,hate speech,protest jews,hate speech,85.0,"The message suggests a negative sentiment towards Jews in positions of power, implying that protesting them is acceptable. This aligns with anti-Semitic rhetoric, which is a form of hate speech."
1116522029207810048_twitter,tell your kids about today how king ermias united the ghettos of america even if it ’ just for a day 🏁,hate speech,ghettos,normal,85.0,The message appears to celebrate a unifying event and does not contain any derogatory language or promote hate against any group. It seems to convey a positive sentiment about unity.
13980716_gab,dunno not good enough he should offer his wife to the negro as,hate speech,negro,hate speech,85.0,"The message contains a derogatory term for a Black person ('negro') and implies a negative sentiment towards both the individual mentioned and Black people in general, which aligns with hate speech."
21419884_gab,says the kike cunt trying to charge for premium content how that working for you 😆 obviously nobody gives a fuck what you have to say cuz you are a fucking joke go blow some wetbacks behind the burrito stand and you might make a buck lick balls heebhole premium cunt contributor,normal,kike wetbacks heebhole,hate speech,95.0,"The message contains multiple derogatory terms aimed at Jewish individuals ('kike', 'heebhole') and derogatory references to Hispanic individuals ('wetbacks'). The language is aggressive and dehumanizing, which is characteristic of hate speech."
12645369_gab,jews pull the same shit on online forums close down all criticism of them and ban threaten people in sherdog i mentioned jews in a couple of posts and all of a sudden some mod is leaning on me the fucker has an illuminati avatar,hate speech,jews jews the fucker has,hate speech,95.0,"The message contains derogatory language directed at Jews, suggesting a conspiracy and implying that they suppress criticism. This aligns with hate speech as it promotes negative stereotypes and incites hostility towards a specific group."
1178965584488230913_twitter,he is infected with jihadi virus he will spread it to others,normal,jihadi,hate speech,85.0,"The message uses derogatory language to associate an individual with a harmful stereotype related to terrorism and Islam, implying that they pose a threat to others. This type of language promotes fear and hatred towards a specific group."
12318142_gab,is not georgia tech a nigger school,normal,nigger,hate speech,95.0,"The message contains a derogatory term 'nigger' used to describe a school, which is a clear indication of hate speech targeting a racial group."
10144695_gab,kid rock is not white not by my standard has a half niglet rapper son make mud babies and you will forever serve the muds,normal,niglet,hate speech,95.0,"The message contains derogatory terms and expresses a negative sentiment towards individuals based on their race and ethnicity, specifically targeting a mixed-race identity and using offensive language. This aligns with hate speech as it promotes racial discrimination and dehumanization."
3492903_gab,i hope obama and his corrupt cia get caught trying cut the power to our grid i d love to see that muslim goatf*cker  in cuffs and a jumpsuit falseflag obama,normal,muslim goatf*cker,hate speech,95.0,"The message contains derogatory language directed at Obama, referring to him as a 'muslim goatf*cker,' which is a clear expression of hate towards a specific individual based on their perceived religion and ethnicity. The use of violent imagery ('love to see that... in cuffs and a jumpsuit') further indicates a hostile sentiment."
15891136_gab,women should be ashamed of themselves for letting transgender lesbian man hating dykes speak for them shame on you,normal,dykes,hate speech,85.0,"The message expresses disdain towards a specific group (transgender individuals and lesbians) and uses derogatory language ('man hating dykes'), which indicates a negative bias and promotes shame against them. This aligns with characteristics of hate speech."
17933804_gab,this idea that jews join the armed services is absurd it a hollywood meme they were not even allowed out of their ghetto pick one,hate speech,were not even allowed out of their ghetto,hate speech,85.0,"The message expresses a negative stereotype about Jews, suggesting that their participation in the armed services is a fabricated idea and ties it to a derogatory reference to their historical living conditions. This perpetuates harmful narratives about Jewish people."
27984542_gab,norwegians just as retarded as the rest of w europe importing murdering raping incestious pedophiles to a once beautiful country have caucasians no brain these days,normal,retarded importing murdering raping incestious pedophiles,hate speech,95.0,"The message contains derogatory language directed at Norwegians and Caucasians, labeling them as 'retarded' and making sweeping generalizations about their intelligence and behavior. It also accuses a group of people of serious crimes, which is inflammatory and promotes hate."
4812102_gab,the solution to save the white race is clearly to vilify women and not have children after all who wants the burdens of marriage like our dumb ancestors they should have probably just chosen to stroke it out rather than continue on our race,hate speech,solution to white race is clearly to vilify women and not have children,hate speech,85.0,"The message promotes a harmful ideology that vilifies women and suggests a drastic and negative view on family and reproduction, which can be interpreted as promoting a racist agenda aimed at preserving a specific race."
14261862_gab,like i care  is bitching to a stupid beaner like me going to fix that nope good luck,normal,beaner,hate speech,85.0,"The message contains a derogatory term 'beaner', which is a racial slur used against people of Mexican descent. This indicates a negative bias and promotes hate towards a specific ethnic group."
27483244_gab,i did not ask shit lip nor care what your political persuasion you are a dickwad that a faux nazi wannabe on gab like the rest sit the fuck down nigger lover,normal,nigger lover,hate speech,95.0,"The message contains derogatory language directed at individuals based on their perceived political beliefs and includes a racial slur ('nigger lover'), which is a clear indication of hate speech."
20624917_gab,pan you cheater you are no newfag you are an expert on bloated kike identification,normal,kike,hate speech,95.0,"The message contains derogatory language targeting a specific ethnic group ('kike'), which is a known anti-Semitic slur. This indicates a clear intent to demean and dehumanize individuals based on their ethnicity, classifying it as hate speech."
1240014512700436482_twitter,asians are so sexy wallahi but then you link up with them and they ’ re like  ’,hate speech,they ’ re like  ’,normal,85.0,"The message expresses a personal opinion about Asians being attractive, which is not inherently hateful. However, the phrase 'but then you link up with them and they’re like' suggests a potential negative stereotype or generalization, but it lacks explicit hate speech or derogatory language."
19843335_gab,without the jews we would not have all those illegals and arabs ur gay,hate speech,jews illegals and arabs ur gay,hate speech,95.0,"The message contains derogatory language directed at Jews and Arabs, implying that they are responsible for negative societal issues. This promotes harmful stereotypes and incites hatred against these groups."
1106029081299058688_twitter,could it be possible to sound more like a faggot,hate speech,faggot,hate speech,95.0,"The term 'faggot' is a derogatory slur used against LGBTQ+ individuals, which qualifies the message as hate speech due to its offensive and discriminatory nature."
26852992_gab,most muslim men are homosexuals pakistan has more male prostitutes than most countries film makers concluded that most pakistani men visit male prostitutes for sex if you dont believe me ask the ex cricketer and now politician imran khan,hate speech,muslim men are homosexuals,hate speech,85.0,"The message generalizes and stereotypes Muslim men, particularly those from Pakistan, by claiming that they are predominantly homosexual and visit male prostitutes. This perpetuates negative stereotypes and can incite hatred or discrimination against a specific group based on their religion and nationality."
23479390_gab,america elected a ghetto family twice,hate speech,ghetto family,hate speech,85.0,"The message uses the term 'ghetto family' in a derogatory manner, implying a negative stereotype about a specific racial or socioeconomic group. This language is often associated with racist sentiments and can be interpreted as promoting hate against a particular demographic."
3990992_gab,yes npr do go on please tell me about all the poor women who need my money because they can not keep their legs closed maga speakfreely,hate speech,poor women because they can not keep their legs closed,hate speech,85.0,"The message contains derogatory language towards women, implying that they are responsible for their own financial struggles due to promiscuity. This perpetuates harmful stereotypes and promotes a negative view of women, which aligns with hate speech."
1179031715194511360_twitter,if its not hillbilly cousin fucking town then yes for that price 🤣,hate speech,hillbilly,normal,85.0,"The message appears to be a derogatory comment about a town, using the term 'hillbilly cousin fucking' as an insult. While it is offensive, it does not target a specific race, ethnicity, or religion, which is a key characteristic of hate speech."
1230108522211422208_twitter,how about royal traitors 😂 loosewomen,hate speech,,normal,85.0,"The message uses derogatory terms but does not explicitly target a specific group based on race, ethnicity, or religion. It appears to express a negative opinion about certain individuals rather than promoting hate against a particular demographic."
18112013_gab,of white women have non white babies because of the brain washing of the media they date men of color to prove they are not racist wind up with muslims ghetto men and members of the drug cartel,hate speech,ghetto,hate speech,85.0,"The message expresses a negative stereotype about white women and their relationships with men of color, implying that they are influenced by media brainwashing and associating them with negative traits such as being involved with 'ghetto men' and 'members of the drug cartel.' This promotes harmful stereotypes and generalizations about race and relationships."
21835463_gab,oh look another buttmad alt right guy accusing me of being a kike because i was in the shield wall while he was crying about how my optics were bad hint try not mixing up national socialists with kikes it makes you look stupid,normal,kike,hate speech,85.0,"The message contains derogatory language directed at Jewish people, specifically using the term 'kike,' which is a known anti-Semitic slur. Additionally, it references 'alt right' and 'national socialists,' which are often associated with hate groups that promote racist and anti-Semitic ideologies."
1188846662346838016_twitter,these hoes be acting up and these niggas be letting them 🤨,hate speech,,hate speech,85.0,"The message contains derogatory language towards a specific racial group ('niggas') and implies a negative stereotype about their behavior, which can be classified as hate speech."
20685925_gab,i guess i get complacent and forget not everyone lives in florida or has heard their names most anyone i talk to in a real life situation knows of them of course most anyone i talk to here is in agreement where liberals rats and muzzies are concerned,normal,muzzies,hate speech,85.0,"The message expresses a derogatory view towards liberals and Muslims, using the term 'muzzies' which is a pejorative for Muslims. This indicates a negative bias and promotes division based on political and religious lines."
1166002876352794625_twitter,if u spell jacob like jakob u a retard,hate speech,retard,normal,85.0,The message expresses a personal opinion about spelling but does not contain any derogatory terms or targeted hate against a specific group. It seems to be a general statement rather than hate speech.
18069994_gab,fuck a bunch of amnesty every last one of these illegal immigrants need to be rounded up like a herd of cattle and sent back to whatever shithole of a country they came from,normal,illegal immigrants shithole of a country,hate speech,95.0,"The message expresses a strong negative sentiment towards illegal immigrants, advocating for their removal in a dehumanizing manner by comparing them to cattle. This language promotes hostility and discrimination against a specific group, which qualifies it as hate speech."
26212911_gab,jew on a stick now kike in a bag whatever will they think of next,normal,kike,hate speech,95.0,"The message contains derogatory terms directed at Jewish people, specifically using 'kike,' which is a known anti-Semitic slur. The phrase 'jew on a stick' also implies a dehumanizing and mocking attitude towards Jewish individuals, further indicating hate speech."
1238287444367286274_twitter,anti violence laws just saved a white man from my nail scratches,hate speech,saved a white man,normal,85.0,The message does not contain any explicit hate speech or derogatory language towards any specific group. It appears to be a personal statement about a situation involving a white man and does not promote violence or discrimination.
1196149360838561794_twitter,i peeped your avi you definitely look like the ghetto ass auntie that you are 😂 🤩 💋,hate speech,ghetto ass,hate speech,85.0,"The message uses derogatory language ('ghetto ass auntie') that targets a specific group based on perceived racial or cultural characteristics, which is indicative of hate speech."
14288348_gab,hey sandnigger monkey enjoying the suppression of rights in america well get ready whites you know kinda like that too lynching non white subhumans as a hobby is in our genes millions of whites are looking forward to it,normal,sandnigger monkey subhumans,hate speech,95.0,"The message contains highly derogatory and racist language directed at non-white individuals, specifically using slurs and promoting violence against them. It expresses a desire for lynching and dehumanizes non-white people, which clearly categorizes it as hate speech."
19263398_gab,ah yes the great poem that invites every 3 rd world shitskin to come to our shores,normal,3 rd world shitskin,hate speech,95.0,"The message uses derogatory terms like '3rd world shitskin' to dehumanize and insult individuals from certain countries, which is characteristic of hate speech."
1237776467842322432_twitter,being jamaati islami and supporting islamic state waystodieinkashmir,hate speech,jamaati islami,hate speech,85.0,"The message expresses support for a group associated with extremist ideologies and violence, which can be interpreted as promoting hate against certain communities, particularly in the context of ongoing conflicts."
12734812_gab,my great great granddaddy let his niggers play sports it called whichever nigger picks the most cotton today gets a piece of bacon in his bowl of grits tonight do the touchdown dance nigger,normal,niggers nigger,hate speech,95.0,"The message contains derogatory and racist language directed towards Black individuals, using the term 'nigger' multiple times in a context that promotes racial stereotypes and dehumanization. This clearly falls under hate speech."
10348741_gab,have a nice day at work white man,hate speech,white,normal,85.0,"The message appears to be a neutral statement wishing someone a good day at work, specifically addressing a 'white man.' While it specifies a race, it does not contain any derogatory language or intent to incite hate."
1252475227096915968_twitter,ur dogshit faggot which explains why u r over  and never can make cl stfu faggot,normal,dogshit faggot stfu faggot,hate speech,95.0,"The message contains derogatory language directed at an individual, using slurs such as 'faggot' which is a term often used to demean and insult members of the LGBTQ+ community. The overall tone is aggressive and demeaning, indicating hate speech."
17315138_gab,get the honky cat,hate speech,honky,hate speech,85.0,"The term 'honky' is a derogatory term used to refer to white people, which indicates a racial slur. The context suggests a negative connotation, making it hate speech."
1229246278141276162_twitter,you ’ re retarded — like actually — that goes for all you astrology people out there aswell,hate speech,retarded,hate speech,85.0,"The message uses the term 'retarded' in a derogatory manner, which is considered hate speech as it targets a group of people (those interested in astrology) in a demeaning way."
14903617_gab,this is much more than being about filthy mudsharks this is about the destiny of humanity does it become a dumbed down mulatto race where the west falls apart like africa and asians dominate the future or do we ship the nigs back where they belong,normal,filthy mudsharks dumbed down mulatto race we ship the nigs back where they belong,hate speech,95.0,"The message contains derogatory terms and promotes racist ideologies, suggesting that certain races should be removed from society and implying that mixed-race individuals are inferior. This aligns with hate speech against specific racial groups."
17317750_gab,the rhodesian ridgeback because if whites are lead by the moderate civic nationalist libertarian right alt zionist not all jews based nigger policies of the alt right instead of national socialism we will end up the same way rhodesia did zimbabwe,normal,nigger,hate speech,85.0,"The message contains derogatory terms and promotes a negative stereotype about a racial group, specifically using the term 'nigger' in a context that suggests disdain and hostility. Additionally, it references a historical context that is often associated with racial tensions and violence, further indicating hate speech."
19399571_gab,you are an illiterate kike apparently ey,normal,kike,hate speech,95.0,"The term 'kike' is a derogatory slur used against Jewish people, and the phrase 'illiterate kike' is explicitly insulting and dehumanizing, indicating a strong bias and hate towards a specific group."
13187518_gab,this nigger is victim stereotype is so ingrained it trumps all factual reality no matter the reporting makes absolutely no sense this is pure ideological thinking where category is all that matters nigger good white man nazi bad facts pale before holy categories by jew,normal,nigger is victim stereotype nigger good,hate speech,95.0,"The message contains derogatory and racist language, specifically using the term 'nigger' in a context that perpetuates harmful stereotypes and promotes a negative view of a racial group. It also includes anti-Semitic language, indicating a strong bias against both Black individuals and Jewish people, which classifies it as hate speech."
21091701_gab,it a mediocre tinder knockoff where women are required to message men first it useless in eastern europe because the only women who use it are british or irish tourists,hate speech,useless in eastern europe because,normal,85.0,The message expresses an opinion about a dating app and its user demographics without using derogatory language or targeting any specific group in a hateful manner.
20126355_gab,they are using arabs and africans to wipe out the western culture people it came from their mouths check my bitchute,normal,and africans to wipe out the western,hate speech,95.0,"The message expresses a belief that Arabs and Africans are being used to destroy Western culture, which promotes a harmful stereotype and incites division based on ethnicity and culture. This aligns with hate speech as it targets specific groups and suggests a conspiracy against a particular culture."
1178866509139103744_twitter,i have been communication banned twice in the past month for calling kids faggots on rb6 when my teammates kill me for no reason kids really can not handle this shit nowadays,normal,faggots,hate speech,85.0,"The message uses the term 'faggots' in a derogatory manner towards individuals, which is considered hate speech as it targets a specific group based on sexual orientation. Additionally, the context implies a negative judgment about the emotional resilience of a younger demographic, which can further contribute to a hostile environment."
21799730_gab,did you hear about the sand nigger lookin guy on the human rights council of australia who used his parliament speaking time to rail against the fast track immigration to the south african whites that was proposed this is far worse than just clown world,normal,sand nigger,hate speech,95.0,"The message contains derogatory and racist language, specifically the term 'sand nigger,' which is a clear example of hate speech targeting a specific ethnic group. Additionally, the context of the message promotes a negative stereotype and expresses disdain towards a particular demographic."
23025821_gab,thelma and louise with a half dozen nigger kids in the back,normal,nigger,hate speech,95.0,The message contains a derogatory term 'nigger' which is a racial slur used to demean and dehumanize Black individuals. This type of language is considered hate speech as it promotes racial hatred and discrimination.
8123704_gab,jim_jordan we want premiums to come down for middle class and working class families me too and illegals out welfare bums get off your asses get a job and pay your own damn way no refugees,normal,illegals out welfare bums get off your asses get a job and pay your own damn way no refugees,hate speech,85.0,"The message expresses a negative sentiment towards 'illegals' and 'refugees', suggesting they are 'welfare bums' and implying that they do not contribute to society. This language can be seen as derogatory and discriminatory, targeting specific groups based on their immigration status."
22513839_gab,dad should have told the muzrat whore to fuck off and went in anyway,normal,muzrat whore,hate speech,95.0,"The message contains derogatory language directed at a specific group, using the term 'muzrat' which is a pejorative for Muslims, and 'whore' which is a misogynistic insult. This indicates a clear intent to demean and dehumanize individuals based on their religion and gender."
25715452_gab,i fucking hate how they turned magik into a retarded looking sjw bull dyke freak in new mutants dead souls i mean wtf did you do with her eyebrows illyana rasputin has never looked worse magik marvel comics comics i ll yana rasputin comic books comic books art,hate speech,dyke,hate speech,85.0,"The message expresses strong disdain towards a character's portrayal, using derogatory terms like 'retarded' and 'bull dyke,' which are offensive and dehumanizing. This language targets a specific group and promotes negative stereotypes."
19267095_gab,why are they bringin all these moslem niggers in our countries and puttin concrete barriers police and military around our public places and events would not it be easier to just put them in cages,normal,moslem niggers,hate speech,95.0,"The message contains derogatory and dehumanizing language towards Muslims and uses a racial slur, which indicates a strong bias and promotes hate against a specific group."
20501519_gab,only boer farmers are welcome the suburban white population initiated this holocaust on themselves they would only come here for the rainbow flags and abundant niggerdick,normal,niggerdick,hate speech,95.0,"The message contains derogatory language targeting specific racial and ethnic groups, particularly using the term 'niggerdick' which is a clear racial slur. It also promotes a narrative that blames a specific group for a historical atrocity, which is characteristic of hate speech."
15108536_gab,more white people are going to get red pilled by the media outrage at it okay to be white and more posters will go up awesome,hate speech,it okay to be white,hate speech,85.0,"The message implies a divisive narrative that suggests a racial superiority or victimization of white people, which can be interpreted as promoting a harmful ideology. The phrase 'it’s okay to be white' has been associated with white supremacist movements, indicating a potential endorsement of racist sentiments."
19062875_gab,imagine canada with   of these retarded niggas in canada canadians are not used to be confronted by garbage like this yet canada shit skin moslem immigration minister ahmed hussen wants to bring   of these animals to canada,normal,shit skin moslem immigration minister ahmed hussen,hate speech,95.0,"The message contains derogatory and dehumanizing language towards a specific racial and ethnic group, using slurs and negative stereotypes. This clearly falls under hate speech as it promotes hostility and discrimination."
25922772_gab,so it appears that being the younger royal lizard bro beds you a   mudslime these days what a ripoff,normal,mudslime,hate speech,85.0,"The message contains derogatory language ('mudslime') directed at a specific group, which is indicative of hate speech. The use of 'lizard bro' also suggests a dehumanizing comparison, further reinforcing the hateful sentiment."
13162665_gab,i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say  boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees,hate speech,niglets,hate speech,95.0,"The message contains derogatory terms and promotes a negative stereotype about Black individuals, specifically referring to them in a dehumanizing manner. It expresses a wish for a continued negative portrayal of Black people in media, which aligns with hate speech."
22878389_gab,is there not  brit with the brains balls to assassinate this filthy shit skin moslem terrorist,normal,moslem,hate speech,95.0,"The message expresses a violent desire to assassinate a person based on their ethnicity and religion, using derogatory language that dehumanizes and incites violence against a specific group."
