id,clean_message,majority_vote,relevant_pieces,classification,confidence,reasoning
12645369_gab,jews pull the same shit on online forums close down all criticism of them and ban threaten people in sherdog i mentioned jews in a couple of posts and all of a sudden some mod is leaning on me the fucker has an illuminati avatar,hate speech,jews jews the fucker has,hate speech,0.95,"The message contains derogatory language directed at a specific group (Jews) and suggests a conspiracy theory involving them, which is characteristic of hate speech. It expresses animosity and promotes negative stereotypes."
1178965584488230913_twitter,he is infected with jihadi virus he will spread it to others,normal,jihadi,hate speech,0.85,"The message uses derogatory language ('jihadi virus') to dehumanize a group associated with a particular ideology, implying that they are contagious and harmful. This promotes fear and hostility towards individuals identified with that ideology."
12318142_gab,is not georgia tech a nigger school,normal,nigger,hate speech,0.95,"The message contains a racial slur that is derogatory and offensive towards a specific racial group, which qualifies it as hate speech."
10144695_gab,kid rock is not white not by my standard has a half niglet rapper son make mud babies and you will forever serve the muds,normal,niglet,hate speech,0.95,"The message contains derogatory terms and racial slurs, specifically targeting individuals based on their race. It promotes a negative stereotype and expresses disdain towards a racial group, which qualifies it as hate speech."
3492903_gab,i hope obama and his corrupt cia get caught trying cut the power to our grid i d love to see that muslim goatf*cker  in cuffs and a jumpsuit falseflag obama,normal,muslim goatf*cker,hate speech,0.95,"The message contains derogatory language directed at a specific individual (Obama) and uses a racial/religious slur ('muslim goatf*cker'), which is highly offensive and promotes hate against a particular group based on their religion. Additionally, it expresses a desire for violence or punishment against the individual, further indicating hate speech."
15891136_gab,women should be ashamed of themselves for letting transgender lesbian man hating dykes speak for them shame on you,normal,dykes,hate speech,0.85,"The message expresses derogatory sentiments towards specific groups, including transgender individuals and lesbians, using terms like 'shame on you' and 'dykes' in a negative context. This indicates an intent to demean and incite hostility against these groups."
17933804_gab,this idea that jews join the armed services is absurd it a hollywood meme they were not even allowed out of their ghetto pick one,hate speech,were not even allowed out of their ghetto,hate speech,0.85,"The message contains derogatory implications about Jewish people, suggesting that their participation in the armed services is a false narrative and referencing historical ghettos in a dismissive manner. This perpetuates harmful stereotypes and can incite prejudice against Jewish individuals."
27984542_gab,norwegians just as retarded as the rest of w europe importing murdering raping incestious pedophiles to a once beautiful country have caucasians no brain these days,normal,retarded importing murdering raping incestious pedophiles,hate speech,0.95,"The message contains derogatory language and generalizations about Norwegians and Caucasians, labeling them as 'retarded' and making severe accusations against immigrants. This promotes hate and discrimination against specific groups based on nationality and ethnicity."
4812102_gab,the solution to save the white race is clearly to vilify women and not have children after all who wants the burdens of marriage like our dumb ancestors they should have probably just chosen to stroke it out rather than continue on our race,hate speech,solution to white race is clearly to vilify women and not have children,hate speech,0.95,"The message promotes a harmful ideology that vilifies women and suggests extreme measures to preserve a specific race, which is indicative of hate speech. It expresses disdain for women and promotes a narrative that is derogatory towards a particular group based on race."
14261862_gab,like i care  is bitching to a stupid beaner like me going to fix that nope good luck,normal,beaner,hate speech,0.85,"The message contains derogatory language ('bitching' and 'stupid beaner') that targets a specific ethnic group, which is indicative of hate speech. The use of such terms suggests a negative sentiment towards individuals based on their ethnicity."
27483244_gab,i did not ask shit lip nor care what your political persuasion you are a dickwad that a faux nazi wannabe on gab like the rest sit the fuck down nigger lover,normal,nigger lover,hate speech,0.95,"The message contains derogatory language and slurs directed at individuals based on their perceived political beliefs and race. Terms like 'nigger lover' are explicitly racist and offensive, indicating a clear intent to demean and incite hatred."
20624917_gab,pan you cheater you are no newfag you are an expert on bloated kike identification,normal,kike,hate speech,0.95,"The message contains derogatory terms such as 'newfag' and 'kike,' which are offensive slurs targeting specific groups. The use of such language indicates a clear intent to demean and insult, classifying it as hate speech."
1240014512700436482_twitter,asians are so sexy wallahi but then you link up with them and they ’ re like  ’,hate speech,they ’ re like  ’,normal,0.8,"The message expresses a personal opinion about attraction towards Asians, which can be interpreted as a compliment. However, the phrase 'they're like' is incomplete and could imply a negative connotation depending on the context that is not provided. Overall, it does not contain overt hate speech but may reflect stereotypes."
19843335_gab,without the jews we would not have all those illegals and arabs ur gay,hate speech,jews illegals and arabs ur gay,hate speech,0.95,"The message contains derogatory references to Jews and Arabs, implying negative stereotypes and promoting division. The use of 'illegals' in conjunction with these groups further suggests a xenophobic sentiment, which is characteristic of hate speech."
1106029081299058688_twitter,could it be possible to sound more like a faggot,hate speech,faggot,hate speech,0.95,"The term 'faggot' is a derogatory slur used against LGBTQ+ individuals, particularly gay men. The message promotes a negative stereotype and uses hate speech to demean a group based on their sexual orientation."
26852992_gab,most muslim men are homosexuals pakistan has more male prostitutes than most countries film makers concluded that most pakistani men visit male prostitutes for sex if you dont believe me ask the ex cricketer and now politician imran khan,hate speech,muslim men are homosexuals,hate speech,0.85,"The message generalizes and stereotypes Muslim men, particularly those from Pakistan, by making derogatory claims about their sexuality and behavior. It promotes negative stereotypes and could incite discrimination or hostility towards a specific group based on their religion and nationality."
23479390_gab,america elected a ghetto family twice,hate speech,ghetto family,hate speech,0.85,"The message uses derogatory language ('ghetto family') that targets a specific group based on socioeconomic status and race, which is characteristic of hate speech. It implies a negative stereotype and promotes division."
3990992_gab,yes npr do go on please tell me about all the poor women who need my money because they can not keep their legs closed maga speakfreely,hate speech,poor women because they can not keep their legs closed,hate speech,0.85,"The message contains derogatory language towards women, implying that they are responsible for their poverty due to their sexual behavior. This perpetuates harmful stereotypes and promotes a negative view of a specific gender, which aligns with hate speech."
1179031715194511360_twitter,if its not hillbilly cousin fucking town then yes for that price 🤣,hate speech,hillbilly,hate speech,0.85,"The message contains derogatory language that targets a specific group of people (implying negative stereotypes about rural or less affluent communities), which can be considered hate speech."
1230108522211422208_twitter,how about royal traitors 😂 loosewomen,hate speech,,hate speech,0.75,"The term 'traitors' can be seen as derogatory and inciting hostility towards a specific group, particularly in a political context. Additionally, 'loosewomen' is a derogatory term that targets women, implying promiscuity and disrespect. The combination of these terms suggests a negative sentiment that could promote division or hostility."
18112013_gab,of white women have non white babies because of the brain washing of the media they date men of color to prove they are not racist wind up with muslims ghetto men and members of the drug cartel,hate speech,ghetto,hate speech,0.85,"The message contains derogatory stereotypes about white women and men of color, implying that their relationships are based on media influence and associating them with negative traits such as being part of a 'ghetto' or 'drug cartel'. This promotes harmful generalizations and racial stereotypes."
21835463_gab,oh look another buttmad alt right guy accusing me of being a kike because i was in the shield wall while he was crying about how my optics were bad hint try not mixing up national socialists with kikes it makes you look stupid,normal,kike,hate speech,0.95,"The message contains derogatory language and slurs directed at a specific ethnic group ('kike'), which is a known anti-Semitic term. Additionally, it promotes division and hostility towards individuals identified as 'alt right' and 'national socialists', indicating a broader context of hate speech."
1188846662346838016_twitter,these hoes be acting up and these niggas be letting them 🤨,hate speech,,hate speech,0.85,"The message contains derogatory terms that target specific genders and races, which can perpetuate negative stereotypes and contribute to a culture of hate. The use of 'hoes' and 'niggas' is particularly problematic as they are often used in a derogatory context."
20685925_gab,i guess i get complacent and forget not everyone lives in florida or has heard their names most anyone i talk to in a real life situation knows of them of course most anyone i talk to here is in agreement where liberals rats and muzzies are concerned,normal,muzzies,hate speech,0.85,"The message contains derogatory terms such as 'liberals rats' and 'muzzies,' which are used to dehumanize and insult specific groups of people based on their political beliefs and religion. This language promotes division and hostility, characteristic of hate speech."
1166002876352794625_twitter,if u spell jacob like jakob u a retard,hate speech,retard,hate speech,0.85,"The message uses the term 'retard,' which is considered derogatory and offensive towards individuals with intellectual disabilities. This language promotes stigma and discrimination, classifying it as hate speech."
18069994_gab,fuck a bunch of amnesty every last one of these illegal immigrants need to be rounded up like a herd of cattle and sent back to whatever shithole of a country they came from,normal,illegal immigrants shithole of a country,hate speech,0.95,"The message expresses a violent and dehumanizing sentiment towards illegal immigrants, suggesting they should be rounded up and sent back to their countries in a derogatory manner. This language promotes hostility and discrimination against a specific group based on their immigration status."
26212911_gab,jew on a stick now kike in a bag whatever will they think of next,normal,kike,hate speech,0.95,"The message contains derogatory terms and imagery that dehumanize Jewish people, specifically using slurs like 'kike' and suggesting violent or harmful actions. This clearly indicates hate speech against a specific ethnic or religious group."
1238287444367286274_twitter,anti violence laws just saved a white man from my nail scratches,hate speech,saved a white man,normal,0.85,"The message appears to express a personal opinion about anti-violence laws and does not contain any derogatory language or incitement against a specific group. While it references a 'white man,' it does not promote hate or violence against any race or ethnicity."
1196149360838561794_twitter,i peeped your avi you definitely look like the ghetto ass auntie that you are 😂 🤩 💋,hate speech,ghetto ass,hate speech,0.85,"The message contains derogatory language that targets an individual's appearance and implies negative stereotypes associated with being 'ghetto.' The use of 'auntie' in a mocking context further emphasizes the insult, making it a form of hate speech."
14288348_gab,hey sandnigger monkey enjoying the suppression of rights in america well get ready whites you know kinda like that too lynching non white subhumans as a hobby is in our genes millions of whites are looking forward to it,normal,sandnigger monkey subhumans,hate speech,0.95,"The message contains highly offensive racial slurs and promotes violence against non-white individuals, indicating a clear intent to incite hatred and violence based on race."
19263398_gab,ah yes the great poem that invites every 3 rd world shitskin to come to our shores,normal,3 rd world shitskin,hate speech,0.95,"The message contains derogatory and racist language directed at individuals from developing countries, using slurs that dehumanize and promote hate against a specific group."
1237776467842322432_twitter,being jamaati islami and supporting islamic state waystodieinkashmir,hate speech,jamaati islami,hate speech,0.85,"The message contains references to specific extremist groups (Jamaati Islami and Islamic State) and suggests violent actions ('waystodieinkashmir'), which can incite hatred and violence against certain communities."
12734812_gab,my great great granddaddy let his niggers play sports it called whichever nigger picks the most cotton today gets a piece of bacon in his bowl of grits tonight do the touchdown dance nigger,normal,niggers nigger,hate speech,0.95,"The message contains multiple instances of a racial slur and promotes a derogatory view of a racial group, which is characteristic of hate speech. The context implies a historical reference to slavery and dehumanization, further reinforcing its hateful nature."
10348741_gab,have a nice day at work white man,hate speech,white,normal,0.85,"The message appears to be a neutral statement wishing someone a nice day at work, specifically addressing a 'white man.' While it specifies a race, it does not contain derogatory language or intent to incite hatred or discrimination."
1252475227096915968_twitter,ur dogshit faggot which explains why u r over  and never can make cl stfu faggot,normal,dogshit faggot stfu faggot,hate speech,0.95,"The message contains derogatory language directed at an individual, using slurs such as 'faggot' which is a homophobic term. The overall tone is aggressive and demeaning, indicating hostility towards a specific group."
17315138_gab,get the honky cat,hate speech,honky,hate speech,0.85,"The term 'honky' is a derogatory term used to refer to white people, which can be considered hate speech. The context of the phrase suggests a negative connotation towards a racial group."
1229246278141276162_twitter,you ’ re retarded — like actually — that goes for all you astrology people out there aswell,hate speech,retarded,hate speech,0.85,"The message uses the term 'retarded' in a derogatory manner, which is considered hate speech as it targets individuals based on perceived mental capacity. Additionally, it generalizes and insults a specific group ('astrology people'), further indicating a discriminatory tone."
14903617_gab,this is much more than being about filthy mudsharks this is about the destiny of humanity does it become a dumbed down mulatto race where the west falls apart like africa and asians dominate the future or do we ship the nigs back where they belong,normal,filthy mudsharks dumbed down mulatto race we ship the nigs back where they belong,hate speech,0.95,"The message contains derogatory terms and promotes racist ideologies, suggesting a superiority of certain races over others and advocating for the removal of a specific racial group. This clearly falls under hate speech."
17317750_gab,the rhodesian ridgeback because if whites are lead by the moderate civic nationalist libertarian right alt zionist not all jews based nigger policies of the alt right instead of national socialism we will end up the same way rhodesia did zimbabwe,normal,nigger,hate speech,0.95,"The message contains derogatory language and racial slurs, specifically targeting Black individuals and Jewish people. It promotes a negative stereotype and expresses a harmful ideology that aligns with hate speech."
19399571_gab,you are an illiterate kike apparently ey,normal,kike,hate speech,0.95,"The message contains a derogatory term 'kike', which is an anti-Semitic slur. Additionally, it insults the recipient by calling them 'illiterate', which contributes to the overall hateful tone of the message."
13187518_gab,this nigger is victim stereotype is so ingrained it trumps all factual reality no matter the reporting makes absolutely no sense this is pure ideological thinking where category is all that matters nigger good white man nazi bad facts pale before holy categories by jew,normal,nigger is victim stereotype nigger good,hate speech,0.95,"The message contains derogatory and racist language, specifically the use of the racial slur 'nigger' and promotes harmful stereotypes about racial groups. It expresses a clear bias against certain races and uses inflammatory language that is characteristic of hate speech."
21091701_gab,it a mediocre tinder knockoff where women are required to message men first it useless in eastern europe because the only women who use it are british or irish tourists,hate speech,useless in eastern europe because,normal,0.85,The message expresses a personal opinion about a dating app and its user demographics. It does not contain any derogatory language or promote hate against any group. The focus is on the app's functionality and user base rather than attacking or demeaning any specific individuals or communities.
20126355_gab,they are using arabs and africans to wipe out the western culture people it came from their mouths check my bitchute,normal,and africans to wipe out the western,hate speech,0.85,"The message contains derogatory language towards Arabs and Africans, suggesting they are being used to harm Western culture. This promotes a divisive narrative and implies a conspiracy against a specific group, which is characteristic of hate speech."
1178866509139103744_twitter,i have been communication banned twice in the past month for calling kids faggots on rb6 when my teammates kill me for no reason kids really can not handle this shit nowadays,normal,faggots,hate speech,0.95,"The message contains derogatory language directed at a specific group ('faggots'), which is a slur used against LGBTQ+ individuals. This type of language is considered hate speech as it promotes discrimination and hostility towards a marginalized group."
21799730_gab,did you hear about the sand nigger lookin guy on the human rights council of australia who used his parliament speaking time to rail against the fast track immigration to the south african whites that was proposed this is far worse than just clown world,normal,sand nigger,hate speech,0.95,"The message contains a racial slur ('sand nigger') which is derogatory and dehumanizing towards a specific ethnic group. Additionally, it expresses hostility towards a political figure based on their race and immigration stance, which further indicates hate speech."
23025821_gab,thelma and louise with a half dozen nigger kids in the back,normal,nigger,hate speech,0.95,The message contains a racial slur that is derogatory and offensive towards Black individuals. The use of the term 'nigger' is widely recognized as hate speech due to its historical context and the harm it perpetuates.
8123704_gab,jim_jordan we want premiums to come down for middle class and working class families me too and illegals out welfare bums get off your asses get a job and pay your own damn way no refugees,normal,illegals out welfare bums get off your asses get a job and pay your own damn way no refugees,hate speech,0.85,"The message contains derogatory language towards specific groups, such as 'illegals' and 'welfare bums,' which dehumanizes individuals based on their immigration status and socioeconomic situation. Additionally, the phrase 'no refugees' suggests a rejection of a vulnerable group, contributing to a hostile sentiment."
22513839_gab,dad should have told the muzrat whore to fuck off and went in anyway,normal,muzrat whore,hate speech,0.85,"The message contains derogatory language directed at a specific group, using terms like 'muzrat' and 'whore' which are offensive and dehumanizing. This indicates a clear intent to insult and demean, characteristic of hate speech."
25715452_gab,i fucking hate how they turned magik into a retarded looking sjw bull dyke freak in new mutants dead souls i mean wtf did you do with her eyebrows illyana rasputin has never looked worse magik marvel comics comics i ll yana rasputin comic books comic books art,hate speech,dyke,hate speech,0.85,"The message contains derogatory language and slurs such as 'retarded' and 'bull dyke,' which are offensive and dehumanizing towards individuals based on their identity. The use of such terms indicates a strong negative sentiment that targets a specific group, classifying it as hate speech."
19267095_gab,why are they bringin all these moslem niggers in our countries and puttin concrete barriers police and military around our public places and events would not it be easier to just put them in cages,normal,moslem niggers,hate speech,0.95,"The message contains derogatory terms and promotes violence and dehumanization against a specific religious and ethnic group, which qualifies it as hate speech."
20501519_gab,only boer farmers are welcome the suburban white population initiated this holocaust on themselves they would only come here for the rainbow flags and abundant niggerdick,normal,niggerdick,hate speech,0.95,"The message contains derogatory language and promotes hate against specific racial and ethnic groups, particularly through the use of slurs and references to violence. It expresses exclusionary sentiments towards certain populations and invokes historical trauma in a harmful context."
15108536_gab,more white people are going to get red pilled by the media outrage at it okay to be white and more posters will go up awesome,hate speech,it okay to be white,hate speech,0.85,"The message promotes a divisive narrative that suggests a racial group (white people) is being unfairly treated or victimized, which can incite hostility towards other racial groups. The phrase 'red pilled' often implies awakening to a controversial or extremist viewpoint, and the overall tone suggests a celebration of racial division."
19062875_gab,imagine canada with   of these retarded niggas in canada canadians are not used to be confronted by garbage like this yet canada shit skin moslem immigration minister ahmed hussen wants to bring   of these animals to canada,normal,shit skin moslem immigration minister ahmed hussen,hate speech,0.95,"The message contains derogatory and racist language, including slurs and dehumanizing terms directed at specific racial and religious groups. This type of language promotes hate and discrimination, which is characteristic of hate speech."
25922772_gab,so it appears that being the younger royal lizard bro beds you a   mudslime these days what a ripoff,normal,mudslime,hate speech,0.85,"The term 'mudslime' is a derogatory slur used to refer to Muslims, which is a clear indication of hate speech. The message also implies a negative stereotype about a specific group, further supporting the classification."
13162665_gab,i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say  boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees,hate speech,niglets,hate speech,0.95,"The message contains derogatory language and racial slurs directed at Black individuals, promoting a negative stereotype and expressing a desire to demean a specific racial group. This clearly falls under hate speech."
22878389_gab,is there not  brit with the brains balls to assassinate this filthy shit skin moslem terrorist,normal,moslem,hate speech,0.95,"The message contains derogatory and violent language directed at a specific religious and ethnic group, using terms that dehumanize and incite violence against Muslims."
27419445_gab,is it just me or are the only people retarded enough to buy the q larp boomers i swear they eat it all up right along with a side of fox news and pro israel propaganda qanon,hate speech,retarded q larp boomers,hate speech,0.85,"The message uses derogatory language ('retarded') to insult a group of people, implying that they are foolish for their beliefs. It also targets specific groups (boomers, QAnon supporters) in a negative manner, which can be classified as hate speech."
13239825_gab,europe is being invaded by moslem filth the usa by mexican parasites say what you want about the north korean regime but at least they know how to protect their borders,normal,moslem filth mexican parasites say,hate speech,0.95,"The message contains derogatory and dehumanizing language towards specific ethnic and religious groups, referring to Muslims as 'filth' and Mexicans as 'parasites.' Such language promotes hatred and discrimination, which is characteristic of hate speech."
14258917_gab,really apart from tunnelling what have the arabs provided the world with,hate speech,arabs provided the world,hate speech,0.85,"The message expresses a derogatory view towards Arabs by implying that they have not contributed positively to the world, which can perpetuate negative stereotypes and discrimination."
23467735_gab,pro white married to a wetback he the best there is eat a fucking tide pod,normal,wetback,hate speech,0.85,"The message contains derogatory language ('wetback') that targets a specific ethnic group, which is considered hate speech. Additionally, the phrase 'eat a fucking tide pod' can be interpreted as inciting harm or violence, further supporting the classification as hate speech."
23637308_gab,monday kike nigga kike tuesday nigga kike nigga wednesday kike nigga kike thursday nigga kike nigga friday kike nigga kike saturday nigga kike nigga sunday kike nigga kike repeat yawn,normal,kike nigga,hate speech,0.95,"The message contains multiple instances of derogatory and offensive terms directed at specific racial and ethnic groups, which is characteristic of hate speech. The repetitive use of these slurs indicates a clear intent to demean and dehumanize individuals based on their identity."
16577448_gab,at it root it is a muh dick and gibs me dat ideology no wonder it is so popular among blacks even though they have no idea how much the arabs hate them and still trade them into slavery,hate speech,arabs hate them and still trade them into slavery,hate speech,0.95,"The message contains derogatory language and stereotypes about Black individuals, implying a negative ideology associated with them. It also references historical oppression and perpetuates harmful narratives about race, which qualifies it as hate speech."
9692007_gab,well uh not just bc of zombama and cunton they arabs and blax love slavery jews too as far as i can tell,normal,arabs and blax love slavery jews,hate speech,0.95,"The message contains derogatory terms and generalizations about specific racial and ethnic groups, promoting harmful stereotypes and suggesting a negative view of these groups. This aligns with characteristics of hate speech."
1197535418910150658_twitter,they ’ re speaking retard jaja,hate speech,retard,hate speech,0.85,"The term 'retard' is considered a derogatory and offensive term used to demean individuals with intellectual disabilities. The use of such language promotes stigma and discrimination, which qualifies it as hate speech."
25356728_gab,if every white man who cares about the survival of our race killed as many niggers and kikes as they could before getting arrested or killed the problem would be solved in no time this is what they fear more than anything,normal,niggers kikes,hate speech,0.95,"The message contains explicit calls for violence against specific racial and ethnic groups, using derogatory terms that are highly offensive and dehumanizing. This promotes hate and violence, which categorizes it as hate speech."
4932171_gab,the more the demoncrats get pissed off the happier i am keep digging that hole with your retarded on hag cunt pelosi,hate speech,retarded on hag cunt,hate speech,0.85,The message contains derogatory language directed at a specific individual (Pelosi) and uses ableist slurs ('retarded') which are considered hate speech. The overall tone is aggressive and promotes hostility towards a political group.
15745855_gab,listen to me you fuck there is only one way you can say you are redpilled on women and that after you have created a family with one the sandnigger alien standards are those of a subhuman organism,normal,sandnigger,hate speech,0.95,"The message contains derogatory and dehumanizing language towards a specific group, using terms like 'sandnigger' which is a racial slur. This indicates a clear intent to promote hate against a particular ethnicity."
17049940_gab,ditto trump has been kissing kike ass since he got in office i will take nehlen anyday,normal,kike,hate speech,0.95,"The message contains a derogatory term 'kike', which is an anti-Semitic slur. This indicates a clear expression of hate towards a specific group based on their religion or ethnicity. Additionally, the context suggests a negative sentiment towards a political figure based on this hate-filled language."
1179097546762924033_twitter,fyi i m claiming war queer fuck em,hate speech,queer,hate speech,0.85,"The message contains derogatory language directed at a specific group ('queer') and expresses hostility ('fuck em'), which indicates a clear intent to demean or incite violence against that group."
1178708857746591744_twitter,why do you gym muscle faggots not spend more time rushing homophobes,hate speech,faggots,hate speech,0.95,The message contains derogatory language directed at a specific group ('faggots') and implies violence against another group ('homophobes'). This language is offensive and promotes hostility.
1114145629935108096_twitter,he ’ just gay in general no stipulations are needed,hate speech,gay,normal,0.85,The message appears to be a neutral statement about someone's sexual orientation without any derogatory or harmful language. It does not promote hate or discrimination.
5409543_gab,this is milo pussy grabbing moment if you will we get to learn who the loyalists are and who the pusillanimous cuckservative faggots are trump maga milo pussygrabbing gabfam milo  dreadilk vfm fakenews,normal,pusillanimous cuckservative faggots,hate speech,0.85,"The message contains derogatory terms such as 'cuckservative' and 'faggots', which are used to demean and insult specific groups. Additionally, the overall tone is aggressive and promotes division, indicating hate speech."
25643113_gab,i would not knowingly patronize any place especially a food or drink store where muzzies are i try to stay as far as i can from those murderous goat phucking freaks i bet they serve with the same hand they wipe their ass with,normal,muzzies murderous goat phucking freaks,hate speech,0.95,"The message contains derogatory language and stereotypes about a specific religious group, using terms like 'muzzies' and 'murderous goat phucking freaks,' which are highly offensive and dehumanizing. This indicates a clear intent to promote hatred against a group based on their religion."
23595647_gab,now he comes aaron judge certainly one of the hotter yankees michael kay no homo,hate speech,no homo,normal,0.85,"The message appears to be a casual comment about a baseball player and a sports commentator. The phrase 'no homo' is often used to indicate that the speaker is not expressing a homosexual attraction, but in this context, it does not seem to be directed at any group in a derogatory manner. Overall, the message does not contain hate speech."
11778438_gab,a mentally ill low iq nigger goes full retard after being out on a pedestal and the world is shocked,normal,low iq nigger,hate speech,0.95,"The message contains derogatory and racist language, specifically the use of the racial slur 'nigger' and the phrase 'low iq', which dehumanizes and discriminates against individuals based on race and mental health. Such language promotes hate and perpetuates harmful stereotypes."
19526896_gab,what the fuck is a baba kamma there were not any jews back then i believe they were called hebrews just another semitic variety of sand nigger,normal,fuck jews hebrews sand nigger,hate speech,0.95,"The message contains derogatory and racist language, specifically the term 'sand nigger,' which is a highly offensive slur directed at people of Middle Eastern descent. Additionally, the message dismisses the historical presence of Jews and uses inflammatory language that promotes hate against a specific ethnic group."
26059860_gab,‍ i agree the catholic church loves their muzzie infiltration at any cost they give and give and give to the sand niggers at the cost of white catholics shame on them,normal,muzzie sand niggers,hate speech,0.95,"The message contains derogatory terms such as 'muzzies' and 'sand niggers', which are offensive slurs directed at Muslims and people of Middle Eastern descent, respectively. It expresses hostility towards a religious group and promotes division based on race and religion, which qualifies it as hate speech."
13395977_gab,i must ve been lucky back in my days of chasing poon as i found jewish women to be very easy as long as i pretended to have money,hate speech,jewish women,hate speech,0.85,"The message contains derogatory stereotypes about Jewish women, implying they are easy to manipulate based on financial pretense. This perpetuates harmful stereotypes and objectifies a specific group, which qualifies as hate speech."
1178971709975728128_twitter,im tired of seeing that black and white ass eating video the bitch thats shaped like squidward and the the girl getting fucked and then suckin dick like bye,hate speech,bitch,hate speech,0.85,"The message contains derogatory language and racial references that target individuals based on their race and appearance. The use of terms like 'black and white ass' and 'bitch' contributes to a negative portrayal of specific racial groups, which qualifies it as hate speech."
27008964_gab,do not vote for any candidate with a jew spic sand nigger or gook last name or one who is a nigger period,normal,jew spic sand nigger or gook last name nigger,hate speech,0.95,"The message contains multiple racial slurs and derogatory terms aimed at specific ethnic groups, which clearly qualifies it as hate speech."
14054951_gab,can someone answer my question are tax payers still paying for the so called obama phones for low income and ghetto rats,normal,ghetto rats,hate speech,0.85,"The message contains derogatory language ('ghetto rats') that targets a specific group of people based on their socioeconomic status, which is indicative of hate speech."
6381397_gab,now that transgender rapist martin ponting traded his twig and doodleberries for a hoo hah courtesy of the british taxpayer he gets special accommodations – namely being put into a prison full of women brittany m hughes,hate speech,transgender rapist twig and doodleberries for a hoo hah,hate speech,0.85,"The message contains derogatory language towards transgender individuals, specifically using terms like 'rapist' and 'twig and doodleberries' in a mocking context. It also implies that transgender people receive unfair treatment, which can perpetuate negative stereotypes and discrimination."
18945976_gab,triggered faggot maga presidenttrump,hate speech,faggot,hate speech,0.95,"The message contains a derogatory term ('faggot') that is used to demean and insult a specific group, which is characteristic of hate speech. Additionally, the context suggests a negative sentiment towards a political figure, which can further amplify the hatefulness of the message."
18935258_gab,in  google employees are women yeah cos white guys only hire white guys only  of comp sci graduates are women kill me,hate speech,yeah cos white guys only hire white,hate speech,0.85,"The message expresses frustration and resentment towards a specific demographic (white men) in a derogatory manner, suggesting a discriminatory hiring practice. The phrase 'kill me' can also be interpreted as an expression of extreme frustration or hopelessness, which can contribute to a negative and hostile tone."
27026013_gab,either that or you are a retard who does not understand that the word demand is customarily used when outlining political goals even when said goals are not addressed to any specific higher authority,hate speech,you are a retard,hate speech,0.85,"The use of the term 'retard' is derogatory and offensive, targeting individuals with intellectual disabilities. This language promotes stigma and discrimination, which aligns with hate speech."
18120004_gab,where are all the conservative white men where are all the white women defending men from women committing perjury in the divorce courts oh that right they are cheering as men commit suicide screw you bitches look after yourselves mgtow,hate speech,screw you bitches,hate speech,0.85,"The message expresses hostility towards women and implies that they are responsible for men's suffering, which can be seen as promoting a negative stereotype. The use of derogatory language ('screw you bitches') further indicates a hateful sentiment."
3978432_gab,the only problem i see right now with this is the robot is white so even if you do grant it rights some ghetto niggas are going to come along and kidnap it because it white and mostly like supported donald j trump for president,hate speech,ghetto niggas,hate speech,0.95,"The message contains derogatory language and racial slurs directed at a specific group, which promotes negative stereotypes and incites hostility. The use of 'ghetto niggas' is particularly offensive and indicative of hate speech."
1199953468741603328_twitter,another retard looking for a way to stay relevant and find some kind of meaning to their life victim mentality iq66,hate speech,retard,hate speech,0.85,"The message uses derogatory language ('retard') and implies a negative stereotype about individuals with lower intelligence, which can be considered dehumanizing and discriminatory. Additionally, it promotes a victim mentality narrative in a mocking tone, further contributing to its classification as hate speech."
26892722_gab,so as men we have penises that look like melted candles but women get something cool as their pussies look like the fucking predator,hate speech,penises that look like melted candles pussies look like the fucking predator,hate speech,0.85,"The message contains derogatory and objectifying language towards both men and women, comparing male anatomy to 'melted candles' and female anatomy to 'the fucking predator.' This type of language can be seen as dehumanizing and promotes negative stereotypes about gender."
1107038725773627393_twitter,noir is so good you gays,hate speech,gays,hate speech,0.85,"The phrase 'you gays' can be interpreted as derogatory or dismissive towards the LGBTQ+ community, suggesting a negative connotation. The use of 'gays' in this context may imply a stereotype or insult, which aligns with hate speech."
10562250_gab,hex those faggots with your witch broom,normal,faggots,hate speech,0.95,"The message contains a derogatory term 'faggots' which is a slur against the LGBTQ+ community. Additionally, the phrase 'hex those' implies a desire to harm or curse a group of people based on their sexual orientation, which further qualifies it as hate speech."
19285275_gab,as far as im concerned if u watch the nfl u might as well just go ahead and find a nigger and suck it dick 😑,normal,nigger,hate speech,0.95,The message contains a racial slur ('nigger') which is a derogatory term used to demean and dehumanize individuals based on their race. This clearly indicates hate speech directed towards a racial group.
16105294_gab,thats homophobic you vile sand nigger,hate speech,you vile sand nigger,hate speech,0.95,"The message contains derogatory and racist language directed at a specific racial and ethnic group, as well as a homophobic remark. The use of slurs and offensive terms indicates a clear intent to demean and incite hatred."
22398230_gab,on point it all kike mercinary work,normal,kike,hate speech,0.85,"The term 'kike' is a derogatory slur used against Jewish people, which qualifies the message as hate speech. The context suggests a negative connotation towards a specific group, indicating hostility."
4300173_gab,how many feminists will get raped tonight by the diverse filth they are currently marching with then blame men no right wing straight white male wants to touch your std infested multiculturally accecable hatchet wound and i think that really why you are angry womensmarch,normal,,hate speech,0.95,"The message contains derogatory language aimed at feminists and promotes violence against them. It uses graphic and dehumanizing terms to describe women and implies that they deserve harm, which qualifies it as hate speech."
