id,clean_message,majority_vote,relevant_pieces
24604208_gab,oh in light of this new detail her mudshark eligibility is denied and so her crown is revoked this week spot remains open good luck girls  ‍  ‍,hate speech,mudshark
1178605804292837376_twitter,get your fucking dirty nigger ass out of here nigger,normal,dirty nigger
17524279_gab,i have no clue look what you wrote chimps have  shared genome w humans but your too lazy to even google no one historically outside africa has nigger genome profile only now bc travel let the garbage spill out no niggers as  had neander denisova et al genes only non niggers,normal,nigger niggers
1106609857954603008_twitter,make a retard nut call that shit a download,hate speech,retard
1116934175196626944_twitter,uk is becoming a nazi state 👎 👎 👎 👎 👎 👎,hate speech,nazi
15410710_gab,she knows what she is doing is wrong and that very many german are white hot displeased with the situation and know whom to blame for it those are the nails of a woman who waiting for the bullet to come,hate speech,a woman who waiting for the bullet to come
1178887881500299266_twitter,gangs give other bikers a bad name or white trailer trashed ect,hate speech,white trailer trashed
1114599869098991617_twitter,less immigrants more houses to chose from lower prices open your eyes duetcheland,hate speech,immigrants
23366947_gab,these faggots and dykes need to stop pushing their perversions in our and our children faces it is all part of their diseased agenda to groom and indoctrinate more kids into their disgusting lifestyle it is not about teaching tolerance its about making more faggots and dykes,normal,faggots dykes faggots
21299727_gab,more proof that muslims have rights and citizens do not citizens do not have the right to not be raped citizens do not have the right to complain about muslim rapists only muslims have rights enjoy the muslims your quisling government imported,hate speech,muslim rapists
13749870_gab,nope never claimed to be a kang that what niggers do i am just a regular guy who wants my country back and who does not want  white women a day to get raped by niggers which is what currently happens in this country,normal,niggers raped by niggers
1217022151112495105_twitter,holocaust is a big lie there is no evidence about that holocaust_big_lie,normal,holocaust is
22220742_gab,wonder why he went to a raghead country,hate speech,raghead country
26361552_gab,there fluoride in the water so i am not stupid because i am a lazy faggot i am stupid because jews made me this way and i can not fix it,hate speech,lazy faggot jews
1179000637410938880_twitter,some shit skin,normal,shit skin
10937556_gab,what sucks about connecticut is that even with a bachelor degree i can not seem to find work and in this state they will only hire you if you are a special minority refugee or an illegal immigrant the democrats have ran out all the high paying jobs,hate speech,illegal immigrant
1170049670858645504_twitter,only white ppl fall for that shit,hate speech,shit
27989825_gab,if the liberal feminazi guardian hates it then its definitely worth a watch new drama yellowstone with kevincostner brexit trump populism,hate speech,liberal feminazi
3158557_gab,what the actual fuck welp in australia if you are a refugee do such to your papers you will be detained interviewed most likely deported or kept locked up,hate speech,fuck
12827660_gab,their blood most definitely is on trudeau little beta male hands if motion m  becomes a bill it will protect these fucking muslim terrorists when they attack us we will be expected to shut up and put up with it or we will be the ones going to jail,normal,beta male fucking muslim
1078460642523258882_twitter,yeah and today  illegal aliens were released in texas,hate speech,illegal aliens
13329120_gab,that sarah press  the resident wannabe high brow kikess,normal,kikess
22117999_gab,seems like more and more us cities have holocaust museums are they centrally owned and operated or is it more of a regional franchise model,hate speech,holocaust museums
22248290_gab,but it ok for the jigaboo bow wow to threaten the flotus on twatter with no penalty,hate speech,jigaboo
26869822_gab,i d rather stare at a bowl full of shit then look at those ugly dinosaur gorrila lookin nigger biches,normal,nigger biches
23173712_gab,apparently there was a tea stain on the qu ran that blocked some text scientist have discovered what it covered mohammed was a gay prophet as is allah though mohammed went a step farther and was a tranny too,hate speech,gay tranny
3464197_gab,wow talk about pathetic i hope this bitch leads by example lives right among these rag headed bastards she will not,hate speech,bitch rag headed bastards
21839700_gab,gays  moslem,hate speech,moslem
1178061770663047169_twitter,black champagne you know can guns shootin this nigger,normal,nigger
22038104_gab,it disgusting how i see blacks treat their animals out here in newark these ghetto people are so hypocritical first to complain about how they are treated by white which is completely bullshit then beat their kids and dogs until they die,normal,blacks
22939146_gab,i jus saw a nigger bich wit a crinkle cut brillohaid,normal,nigger bich
1098065960253169664_twitter,our group chat name is “ down bitches ” when we all know theirs only  down bitches out of the of us,hate speech,down bitches
3584277_gab,when asked about the similarities between the moderate muzzies and the blacks colin flaherty said they are not similar they are the exact same thing lots of heads on the hydra,normal,muzzies
1178324235716087810_twitter,i hate you,normal,i hate you
24921934_gab,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot,normal,kike faggot
1178860861357772800_twitter,more white trailer trash trump supporters,hate speech,white trailer trash
4584513_gab,i think your  iq is a bit too high most of the muzzies i have ever dealt with were a  iq tops,normal,muzzies
20766776_gab,‍ my sexy bitch,hate speech,bitch
10691275_gab,postmodernist marxists believe whites are dominant by evil means must be brought down so whole world can flourish alt right believe that jews are conspiring to destroy white race that immigrants are being brought in to replace whites these positions are not exactly rational but are related,hate speech,destroy white race
27710845_gab,hey i can say racial slurs on here nigger kike spic wop coon heeb sandnigger jew faggot homo your mom,normal,nigger kike spic wop coon heeb sandnigger jew faggot homo
7543907_gab,oy vey the shoah blue bloods last night had a white guy doing polar bear hunting knockout game of elderly at least he wasn t blond this time like hawaii   did with last nights innocent moslem framed for terror,hate speech,polar bear hunting knockout game of elderly
10043208_gab,jy kelly8 hours ago edited if she really wants to act like a moslem she should get a little bit of the fgm that these scum love so much this bitch makes me sick at my stomach libs like her are the reason trump won ﻿,normal,moslem
12324976_gab,study subject jew_4 projects the greatest feat of the north american kike namely that non urban usa is a hotbed of ovens shoah  electric boogaloo its panicky neurosis cause it to lash out at the goy claiming the opposite studying such sick pathologies is unpleasant but on i press,normal,jew_4 kike
20080085_gab,gunman ´ shouting allahoop akbar ´ kills five women and wounds five others as he opens fire on christian worshipers leaving russian church service unlike pc america as in the past putin will take care of these muslimes and their satanic mosque,normal,muslimes satanic mosque
6662616_gab,if i had to start a white nationalist prison gang i would name it the r1b haplogroup,hate speech,white nationalist prison gang r1b haplogroup
25953687_gab,you are using a straw man here with your statement blame jews for everything that ails you which is lazy you should be able to debate the actual position not just the caricature of it,hate speech,blame jews for everything that ails you
16979230_gab,that isnt the fucking white power sign you retards it the ok sign the white power sign involves both hands the reason people do this now is because you dickheads go into a tizzy over it like a bunch of fucking girls,hate speech,retards
26346737_gab,it friday and it nigger hot,normal,nigger
1165118482180202496_twitter,liberal but i fucking hate lefties,hate speech,fucking hate lefties
12554644_gab,this is a coverup the real shooter is sam hyde who was reported as saying these son of a bitch coons that kneel have to go,normal,coons
11599979_gab,bill is underestimated life long politician nine years in the ruling government he no idiot media is on labour side they will try a cnn this year round i think jacinda lanour is in this year the degenerate pedo can smell immigrant victims jacinda would open the flood gates,hate speech,
13284688_gab,soon you will be thrown in jail for giving some rag head moslem bitch a funny look or not giving her your seat on the bus,hate speech,rag head moslem bitch
20639179_gab,please people do not reply to this ignorant peasant raghead as it is from one of them it is unable to differentiate between a child and a woman as mo the pedo married a  yr old they also cannot tell between women and goats both have beards after all,normal,raghead pedo
1111263476218056706_twitter,i ’ m so sick of all white parties,hate speech,white parties
16897955_gab,dumbest cartoon propogated by the dumbest people get that shit outta here faggot,normal,faggot
3389354_gab,has germany gone mad  of germans see no connection between refugees and terrorism,normal,refugees and terrorism
9120350_gab,you d think they d stop showing all those advertisements pushing the idea of black men in relationships with white women then given that it must greatly upset the sheboon demographic seeing their future baby daddies getting with some white skank uu girl you betta watch yoself,hate speech,white skank
1209747839678636032_twitter,there ’ no sympathy for immigrants because they ’ re “ illegal ” but last time i checked everyone is illegal on stolen land 😐 😐 😐 😐 😐 😐,hate speech,
24322054_gab,haha you keep saying bye yet you yearn for more seems pretty shitskin tier sad tea biscuit,hate speech,shitskin
26475804_gab,so i can not do research on a topic kiddo is that what you are saying are you saying the internet does not exist scientific journals do not exist you are a retard on the level of trig palin timmy kill yourself,normal,kill yourself
25514474_gab,this seems like the seed of a great compromise we will slaughter the jews here you muslims and arabs slaughter the jews in the middle east get out of the us and europe and in exchange we will allow you to live in peace in a jew free middle east,normal,we will slaughter the jews here
17115597_gab,2 and now even though they have political power the machine still sells these delusional maniacs on the concept that even muslims that have self created no go zones or blacks with their violent no go ghettos are somehow still oppressed so need libtardshelter even though theyre in a libtard run city,hate speech,muslims that have self created no go zones libtardshelter libtard
23198118_gab,i suspect it because if we tried to shut down left wing speakers with violence the laws against assault and intimidation would actually be enforced against us,hate speech,
22627863_gab,probably cos you have had the moslem clit clip your pussy sowed up so the goat probably pushes back more enthusiastically fgm moslems are the problem,normal,moslem clit clip
1184521256961339394_twitter,scared for right wing terrorists who are in hundreds while islamists are in millions yet roam free,hate speech,islamists
1179099988644769797_twitter,had a grown freak bitch we use to slut that bitch out 🤐,hate speech,bitch bitch
17188770_gab,i found a hasbara kike everyone,normal,kike
11364259_gab,trending again why does not the donald bitch slap kim jong hippo,hate speech,bitch
13305735_gab,a somalian who one day washes up on europes shores will never be a european same thing with pakis in britain arabs in france or turks in germany,hate speech,pakis
15315695_gab,u would have to be retarded to vote jared and i love jared,hate speech,retarded
13713329_gab,susan rice is a lying sack of nigger shit,hate speech,nigger
1078177821728505856_twitter,give me your money bitch that ’ all i want from you,hate speech,bitch
18535967_gab,the media talks about supposed over representation of white people in everything from corporations to laboratories nobody says blacks are over represented in the nba and apparently nobody is allowed to say that jews are over represented in the media and let not even mention banks,hate speech,blacks jews
1178201585844813824_twitter,league be like kill yourself faggot and i be like yeah,normal,kill yourself faggot
1178906358957170688_twitter,all of you trickshotting faggots are just variated clones of me muahahahaha,normal,faggots
1178548344483770368_twitter,my cousin is a faggot,hate speech,faggot
1178634815551234048_twitter,let us not forget that pakistan is a islamist sharia country that supports terrorist groups around the world so they do in india in fact if muslim invaders would not have raped india that shitty nuke state would not even exist,normal,shitty
1086755897903329281_twitter,t  oh no he stood there and grinned what an absolute imbecile you are truly retarded,hate speech,retarded
11412453_gab,many reasons i just know when m billions of blax muzzeez la raza jews and christinas say they want to exterminate all white people and start doing it i believe them,normal,jews
1179089422719037445_twitter,animals kill more lhan abuse their bodies with homosexualism that means you think humans murdering is more natural than commit perversion of homo,hate speech,perversion
1082057438554218497_twitter,“ alexa what is the emoji for dense retard ”,hate speech,retard
1074018530381709318_twitter,niggas talk to  bitches find out you text somebody else amp all of a sudden you a hoe amp he hate you 😂,hate speech,niggas hoe
19232516_gab,i do not know why you want mexicans out but to me it has nothing to do with crime i want asians out too and they do less crime than whites this is simply a matter of having a homeland,normal,asians out
26167567_gab,our moslem friends also ask the same question why dont we just drop our drawers why dont we just dissolve the republic just blow our brains out do our enemies a favor,normal,
1178769319762808832_twitter,i wish you all niggers stop wearing these fat ass fanny packs i hate them,hate speech,niggers
10512433_gab,let test this free speech goatfucker muslims are idiots but they still have a better view of women than sjw shitfaces and feminists waits for ban,normal,goatfucker muslims are idiots sjw shitfaces feminists
13626338_gab,ya know in facistbook there r private sites which are not private they all have been infiltrated by fb corruptness stealing any bit of your intellectual properties same as tittler if you put dowm corrupt demonicrats moeslimes whatever,normal,moeslimes
15477682_gab,public service announcement god hates niggers and jews,normal,god hates niggers and jews
18412369_gab,clueless marxist indoctrinated pussy hat women have no clue as to the pain they may cause as they parrot cultural marxism study cultural marxism people read study hard know your enemy it moves silently and unseen by most,hate speech,pussy hat women
19499335_gab,the offer still stands trigger i carry a large assortment of nooses and blades for your suicide needs  triggered faggot maga presidenttrump,normal,suicide needs triggered faggot
5601373_gab,robert davi hollywood and anti trump actors should invite illegal immigrants to oscars oscars2017 and better yet the celebrities should invite a few illegals or refugees to live with them wonder how long they would want them to bunk at their houses,hate speech,illegals or refugees to live with them
13290297_gab,well he is a retarded duck and he will get his ass kicked,hate speech,retarded
1106594041435693057_twitter,anytime is see “ reform ” and “ islam ” in the same sentence i already know its gone be some bullsheet,hate speech,islam
23544084_gab,he has special privileges because he a rich kike billionaire,normal,kike
22985682_gab,says the gay nazi we know you do not like women but do not spoil it for the rest of us go back to your hitler youth circle jerk faggot maybe you will get a reach around tonight,normal,gay nazi jerk faggot
24419087_gab,uh oh u fags getting triggerer u fags getting triggered is because most women want like berserk and meh,normal,uh oh u fags getting triggerer u fags getting triggered is because most women want like berserk and meh
19841818_gab,waned i do not know why you would want to watch that nigger bullshit in the first place,normal,nigger
1082070654801723395_twitter,fuck if you gonna run on first get more blockers if not throw that bitch,hate speech,bitch
1169195056265228288_twitter,liberandus and porkis crown these jihadis as their heroes,hate speech,jihadis
15896433_gab,if somebody is not white than they are going to be rejected by wn on the grounds they are not white women in general need pushed out of leadership positions in our movement and she not doing good work she setting a very bad precedent for our future actually,hate speech,women in general need pushed out of leadership positions
15167203_gab,that would be because muslims are disgusting and i want them out of my lands note they would not even be in my lands had the jew not brought them but you will ignore this because it does not fit your kike narrative,normal,kike
1255327165056507904_twitter,if biden raped your wife ’ friend would u report on it,hate speech,biden raped your wife ’ friend
27402409_gab,yes please do excuse how retarded you are,hate speech,retarded
1178398958030209024_twitter,in my arms by alex g is a faggot anthem,normal,faggot
1179093240433250307_twitter,i wonder do she kno her gf a super duper slut,hate speech,
1179562385893232640_twitter,mud people are the source of this climate change bull shit fuck the muddy gad damn negro fucking chocolate lookin ass nigars,normal,mud people muddy gad damn negro fucking chocolate lookin ass nigars
1179085028740853760_twitter,chimmy ching chong great wall,hate speech,ching chong
21347847_gab,i had it out with that moon guy hes one of them 4 chan gook lovers,normal,gook
11559692_gab,gotta hand it to dem asians show me a nigger country building own h bomb,normal,nigger
27812026_gab,come and get me nazi fairy maga presidenttrump  ‍ aka greatautist howdidyousayyouwouldstopmefaggot lol,hate speech,nazi fairy greatautist howdidyousayyouwouldstopmefaggot
20206672_gab,every time i see the australian abc publically funded broadcaster advertising trans gay mardi gras i feel physically sick i literally get a bad taste in my mouth perhaps its time i should start insisting that the  normies get  of the funding for promotion of wholesome standards,normal,trans gay
1159799517518209024_twitter,nah mf u def retarded,hate speech,retarded
12602102_gab,they will get raped anyway at this point nothing matters but to ensure that they do not get abducted or raped into pregnancy by the other tribes think of them as machines that produce babies and literally listen to whoever is in power,hate speech,abducted or raped into pregnancy
1179014962741743616_twitter,coming from a rag head no less,normal,rag head
1216520394938769408_twitter,fuck em let them towel heads burn,normal,fuck em towel heads burn
12178459_gab,you do not bible well either vox day if you did you would know faggots get fire and you would also know that jews are the enemy and you vox day are also guilty of idolatory you get the place of sulphur for your lies sorcery and schemes,hate speech,faggots get fire jews are the enemy
15549494_gab,it hilarious i doubt it would have effected how efficiently the restaurant operated he sure seemed to want to get those fries going besides liability issues as a ghetto bk manager why not pick your battles,hate speech,ghetto
1179055948293427200_twitter,send a bad bitch back where she came from,hate speech,bitch
23663506_gab,all tha feelz muh nigga,hate speech,nigga
16385917_gab,sell it all bitcoin is the same as the gold the nazis robbed from us jews it funds the facist trumpian nazism needs to be stopped people,hate speech,trumpian nazism
10472215_gab,i argued with him against sending troops and money to shithole africa he all kumbaya over saving africans from muzzies and thinks we have to do it i called bulshit,normal,shithole africa muzzies
1116144631048212481_twitter,put fucking duos in apex u retards,hate speech,retards
22676555_gab,lol get a load of this kike,normal,kike
3168947_gab,christians fail to explain how this harms them though it harms us when you faggots behave like the disease vector pedophiling murderous raping druggie shiteating conscienceless prog degenerate scum that you are aids is proof that god hates fags,normal,faggots disease vector pedophiling murderous raping druggie shiteating conscienceless prog degenerate scum that you are aids is proof that god hates fags
24198545_gab,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,normal,nigger
1249015022765977601_twitter,stupid bitch not paying attention looking for something in her car almost crashed right into me my life be flashing right before my eyes,hate speech,stupid bitch
1079855403788369920_twitter,these stats are so retarded kante aint playing a cdm and still has similar defending stats,hate speech,retarded
27410141_gab,lol i stroke you you snappy little paki,normal,paki
25918854_gab,she a nigger fucking slut retart,normal,nigger fucking
1178982124717821952_twitter,charles i also hauled them in to engineer the dykes and rhynes on the somerset levels,hate speech,dykes
1262800940857425924_twitter,matt healy is homophobic and racist and i don ’ t want to hear anyone say otherwise,hate speech,homophobic racist
15585399_gab,justin trudeau the traitor against canada deserves to be drowned slowly in a large pot of shit out of he asses of  jihadi terrorist that he let back in our country illegally,normal,deserves to be drowned slowly in a large pot of shit
4998410_gab,the whole concept of a hate crime is a retarded sjw idea is there such a thing as a love crime more protected group bullshit that says the life of an x is more important than the life of a y,hate speech,retarded
13155723_gab,common sense says the solution to every problem in the world is white men jews say the problem with everything in the world is white men it would seem that jews are a problem,hate speech,jews are a
25115988_gab,it is now up to the family of the girl to punish the moslem shit skin,hate speech,moslem shit skin
1179078651029151746_twitter,hey you socialist cocksuckers make sure you protect all of the little limp wristed left wing faggots from mean scary words,hate speech,faggots
16926021_gab,you are going to die alone surrounded by shitskin nurses who steal your pain medicine it what you deserve boomer nigger,normal,boomer nigger
4451880_gab,another twitter refugee has arrived banned for standing up to snowflakes maga,hate speech,twitter refugee
16143560_gab,reminder that kike whores love nigger dicks,normal,kike whores nigger
18125791_gab,took my first trip into town today after getting over the flu on the drive in i had to go through a sh*thole  muslim ghetto but i was delighted to see a new shop a polish pork butchers nice one,hate speech,sh*thole  muslim ghetto
22771907_gab,yes graffiti is nigger behavior,normal,nigger
8009733_gab,ann coulter has a point blacks in america should be thankful their ancestors were slaves as bad as they perceive they have it it better to live in a ghetto in america than anywhere in africa increased income lifespan equality of opportunity,hate speech,blacks thankful live in a ghetto in america than anywhere in africa
15798449_gab,yes that mudshark tendency shows the world how truly progressive she is see,hate speech,mudshark
19485661_gab,and that property value for letting that gay nigger in the house,normal,gay nigger
16744089_gab,hey curry nigger race traitor kike fucker possible mossad agent fucker did voat die everything stopped working a few hours ago but the site still live,normal,nigger race
17186405_gab,what about the jews murdering millions of europeans and asians from the french revolution to the current iranian revolution it seems as if only one segment of the populace seems to benefit only the chosen race may butcher all non members by the millions and expect reimbursement,normal,jews murdering millions of europeans and asians
2776037_gab,so true lefty snowflakes raise hell when someone will not bake a cake for a gay wedding but if you behead hang or throw gays off of buildings that perfectly fine mind boggling they betrayed gays for radical islam,hate speech,snowflakes but if you behead hang or throw gays off of buildings that perfectly fine they betrayed gays for radical islam
14531140_gab,says she a an overweight dyke with blue or purple hair and piercings who probably has not bathed in weeks not to mention a total fucking poseur the dude was probably thinking what the actual fuck not i d like to fuck that thot,normal,dyke
5105284_gab,bert is a trained nigger dog barks and growls at coons and jews he can smell them,normal,nigger
26411273_gab,white genocide sometimes it subtle saw this at home depot today personally i think the nigger stink would be enough to keep the bugs away,normal,nigger
23267901_gab,weak little doggie there is no harassment here you could choose not to view anything you do not want to view you are weak your views are weak go somewhere we are stronger people defend your views weak fucking doggy,hate speech,weak fucking doggy
1107071290320539649_twitter,ok thats just retarded,hate speech,retarded
1190043565709254658_twitter,😂 😂 😂 i like the way you answered her like she a retard 😂,hate speech,retard
21073982_gab,deport an illegal and one ghetto black for every south african brought to the u.s.,normal,illegal one ghetto black for
1122495679719297030_twitter,it was the gayest and hottest thing i ’ ve ever seen istg,hate speech,gayest
17343370_gab,go fuck your goat as your islamic pedophile blood brother btw yids are not a race either btw schizophrenia really hitting your incest brain no one said muzzies are a race,normal,fuck muzzies
1121989408876482561_twitter,if pete gets elected i ’ m going to cut off my gay ear,hate speech,gay
22234676_gab,i give up guys anglin is more pro white by fucking gook hookers we all should follow him like some sick puppy and do as he does,normal,gook
17361780_gab,yes but i heard the muzzies get to use a new gadget called wipe a hand,normal,muzzies
19323340_gab,sure but only a retard would think that,hate speech,retard
1105398262167756800_twitter,what a bad goy i ’ m so glad i have you kikes to tell me what to think,normal,kikes
4731064_gab,the smarter white persians suffering the consequences their dumber fellows under islam ironically the average european white is being held down by their smarter fellows that are obsessed with virtue signaling and equality and their disdain for their own people,hate speech,dumber fellows under islam
22071431_gab,how you all doing today i bet this weather is better on your negro skin than somewhere north like detroit can i get an orah,hate speech,negro
24868412_gab,macron is a fucking idiot mangina cuck his teacher raped him as a teen and he married the old bat 3 rd world migrants are retarded feral morons what else can you expect from them but violence and freeloading,normal,3 rd world migrants are retarded feral morons
21840871_gab,this pic shows success and the ghetto all in one area,hate speech,ghetto
20856410_gab,we should ship guns to europeans so they can purge the filthy scum that was brought upon their door steps since obamass did not have a problem arming drug cartels and his muzzie buddies,normal,muzzie
1178518576283545602_twitter,what wrong with these crazy dumb white maggots why can not they take responsibility for what they say and do they are obviously fucking crazy and retarded,normal,white maggots retarded
1163018440312967168_twitter,these hoes are insane,hate speech,hoes
19128925_gab,what do you call  immigrants at the bottom of the ocean a good start,normal,immigrants
1177927419740770304_twitter,happy birthday you fat dyke sharonda white 😂 😂 ❤️ ❤️ ❤️ ❤️,normal,fat dyke
1091775057897115648_twitter,dear  it seems that you are ok with her calling a baby retarded no ban you are extremely biased,hate speech,retarded
18321938_gab,mane fuck you all kike,normal,kike
8071344_gab,why are people surprised by the dimwitted response of some air headed mudshark,normal,mudshark
12862315_gab,no sand niggers no terror pretty straightforward,normal,sand niggers
5331592_gab,sure rcmp detain them then they are housed in a motel free free medical welfare get to apply  refugee status and tax payers foot the bill great country canada what,hate speech,get to apply  refugee status
1092895603984601088_twitter,bitch fuck ur niceness drop the,hate speech,bitch fuck
23611225_gab,all mexcrement bucks are born with knives,normal,mexcrement
1178726254381617152_twitter,went on her acc and its just ppl putting fancams and saying dykes follow me like that is helping in the slightest,hate speech,dykes
20323246_gab,go suck a dick fagit kike,normal,fagit kike
8621354_gab,christians are commanded to come out and be separate muzzies and christians cannot co exist as muzzies just want to kill everybody all the time so somebody has got to go,normal,muzzies
15937737_gab,just to let the arabs in israel know today is day  of the  day rage back to goat fucking,normal,back to goat fucking
5806927_gab,at least the foreign queers are figuring it out now,hate speech,queers
18089083_gab,god rest the man soul one question how many muzzies die on the street,normal,muzzies
21037896_gab,showa time for this fucking kike,normal,kike
5246224_gab,sean spicier ‏  twitter the president appreciates everyone coming around to his immigration stance a day without immigrants is a great start next we try a week,normal,a day without immigrants is a great start
20310954_gab,i see future case of diversity with mudshark sunglasses,hate speech,mudshark
4480271_gab,retarded nigger bessie coleman on google homepage literally fell out of her plane to her death because she wasnt wearing a seatbelt while flying the more you know maga gab fam,normal,retarded nigger
1172373046851584000_twitter,you are fucking retarded to think it is a nazi symbol al,hate speech,fucking retarded
1198250371589824512_twitter,johnny in his head i thought gay people were meant to be fashionable,hate speech,gay people were meant to be fashionable
14944099_gab,you are a gay nigger if you mute me but you are from outer space if you like me,normal,gay nigger
1079040710979080194_twitter,i ’ m sorry i don ’ t dress like a ghetto hood rat like you,hate speech,ghetto
1179028372413980674_twitter,getting ass raped by sandniggers,normal,sandniggers
25644977_gab,gosh i guess the mental conditioning had a strong hold on me from my obsessive viewing of fox news as a teenager it took a traumatic event in  for me to finally see the kike hiding behind everything,normal,kike
4583348_gab,the libtard setback for the moslem refugee ban just tells trump what needs to be corrected and who fucking things up for the american people when scalia replacement is named it back to the ban,hate speech,
4609197_gab,it harsh but realistically speaking our democrat leaders are fighting for noncitizen rights to murder gays enslave women and blacks and rape children in our country priorities priorities thank god for president trump who will protect us all even these idiots speakfreely maga trump,normal,fighting for noncitizen rights to murder gays enslave women and blacks and rape children in our country
15090039_gab,you can take affirmative action low iq hoodrats like maliaobama out of the ghetto but you can never take the ghetto out of the hoodrats,normal,low iq hoodrats like maliaobama out of the ghetto
3280112_gab,is a faggot queer cum guzzling ghetto fag cuck retard did i forget anything im sure i did,hate speech,faggot queer cum guzzling ghetto fag cuck retard
26385988_gab,poland says no to muzzie invasion,normal,muzzie
18681622_gab,cowardly actions by the pussy brits men let their women be gangraped by moslim animals should change countrys name to cuckland,normal,pussy brits gangraped by moslim animals
9631494_gab,so take yer white privilege n shove it up yer nigger n hairy kike asses untermenschen,normal,take yer white privilege n shove it up yer nigger n hairy kike asses
22616955_gab,what i am willing to recognize is that people willingly follow a raghead rapist and think they are doing something moral,normal,people willingly follow a raghead rapist and think they are doing something moral
1178194517368938499_twitter,watching this anal rape episode pretty funny but the one thing that annoys me about an otherwise fine episode is the use of sam jackson and charlie murphy as the voice of the wiggers i think it done to give ppl license to laugh at white people dropping n bombs freely,hate speech,wiggers
19102984_gab,and it only white countries forced to diversify black brown countries never do you do not see the un jew arabs forcing whites into mexico south america or any islamic countries north korea china japan they can stay as slant as they fucking want but white peaceful countries we need diversity fuck that,hate speech,fuck that
27002468_gab,thanks jews we were told pt blank by kikess barbara lerner specter this had to take place,normal,kikess
19732938_gab,wrong bitch ass nigga,hate speech,bitch ass nigga
7069129_gab,the sad sack south worshippin the football nigger on saturday and the jew jebus on sunday,normal,nigger jew jebus
13473447_gab,sorry tom you are wrong the qur an haddiths sanction rape mohammed himself raped many women including the  year old aisha he was poisoned by a jewess he had raped after murdering her husband the qur an encourages the rape of unbelievers it is the religion of satan,normal,sanction rape jewess he had raped rape of unbelievers
21868057_gab,his being a faggot and a globalist and a whore for the kike is worse than being mixed race though most half street shitters are shit in general there a half czech   japanese   korean politician tomio okamura who is very pro family anti invasion anti eu,normal,faggot kike
21418436_gab,ahmed hussen canada shit skin mildly retarded somali moslem immigration minister has absolutely refused to accept any white afrikaner farmers he wants to bring   retarded moslem to canada to kill canadians,normal,retarded
18937485_gab,hello everyone i am a freedom lover love god family and america i am white and will not allow anti american people of color destroy my country nor infiltrate my government,normal,will not allow anti american people color destroy my country
21632167_gab,i never asked if you were joining the twp i asked if you believe in the concept of innocent until proven guilty you fucking retarded boer,hate speech,fucking retarded
21346962_gab,this person is obviously retarded she thinks the furry thing is serious and has an obsession we all have gook sex slaves we do not want people this retarded,hate speech,retarded gook sex slaves
27713812_gab,the nigger mess gets bigger till the white man pulls the trigger,normal,nigger
1179047556535455744_twitter,and your muslim you dumb towel head camel jockey genital mutilated whore,normal,towel head camel jockey whore
10321357_gab,you are either a muslim or a retarded liberal eurocuck that standing back and letting them conqer your lands and rape your women and livestock go make yourself useful,normal,retarded eurocuck rape your women and livestock
19240360_gab,football was fun to watch when you had personalities in it now you have few dozen black lookalike robotons running around the field doing exactly the same thing sport that got taken over by democratic plantation ghetto afros,hate speech,black lookalike robotons ghetto afros
12918517_gab,ot has someone a quote by this sarah press  kike about her catholic german boyfriend one of my followers was asking and i could not find one handily,normal,kike
11176696_gab,we do not have to commit suicide just cause the jews tell us to,hate speech,commit suicide just cause the jews tell us to
1170189236332638208_twitter,bitches be acting like niggas niggas be acting like bitches bitches be loving these niggas,hate speech,bitches bitches bitches
16954294_gab,yes they can many think moslems will fight well armed white str8 christians instead of easy targets like gay bars others are paid to say moslems are peaceful,normal,
1197186329173544961_twitter,when did michael kors become a “ ghetto ” brand any time a lot of black ppl get a brand y ’ all call it ghetto its annoying,hate speech,ghetto ghetto
17024726_gab,oh shit this means the weirdo will have more time on his hands to write another book well at least his retarded fans the idiots who bought his first book will be happy,hate speech,retarded
15123499_gab,dick pics from the muslimes and sexual violence from sikhs and hindus,hate speech,
17508074_gab,i finally went to look up what this michael wolff retard looks like what a goofy looking faggot,normal,retard faggot
1179046857038675969_twitter,how can you know someone intention whether they are real or not how can you just accuse them doing so in order to promote their products group or gaining publicity it is your heart that is stained by jealousy towards others suck it up faggots,hate speech,faggots
14865053_gab,if it were not for us you d all be speaking german now what sandnigger for jetzt volkommen verfickt,normal,sandnigger
1162389655406424065_twitter,bitches be so stupid and ungrateful,hate speech,bitches
24316413_gab,dis obey the sand niggers would,normal,sand niggers
18071470_gab,who else wants to beat the shit out of this wetback bitch,normal,wetback bitch
1179048955025346562_twitter,all those illegal bangladeshi muslim immigrants tweeting from fake hindu bengali account with the trend go back amit shah your time is up no matter how much your mumtaz begum tries to save you you guys are going to get kicked out start counting your days,normal,bangladeshi muslim
17135233_gab,i am broke in the ghetto way i got my tv and sat and internet being retired is boring,hate speech,ghetto
14560961_gab,and a cucked sand nigger no less,normal,cucked sand nigger
26656707_gab,this time it does not you add nothing to white lands now that we hire skin tone over skill in our health care industry death by doctor is the leading cause of death thanks shit skins you are a disgusting race of people and have no place around whites none at all,normal,shit skins disgusting race of people
